source,item,created,modified,accessed,confidence
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvsmartmax64.dll,2018-03-27 10:21:04,2016-12-29 13:16:15,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvsmartmaxapp.exe,2018-03-27 10:21:04,2016-12-29 13:16:15,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvsmartmaxapp64.exe,2018-03-27 10:21:04,2016-12-29 13:16:15,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvxdsync.exe,2018-03-27 10:21:04,2016-12-29 13:16:15,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.ControlPanel.{4B65D6E1-13EC-4853-857D-531054927F83}\DisplayControlPanel.nvi,2018-03-27 10:21:03,2016-12-29 13:16:20,2018-03-27 10:21:03,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\license.txt,2017-03-14 10:48:34,2017-03-14 10:48:34,2017-03-14 10:48:34,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.3DVision.{B000D554-73C9-4982-B0CE-7FEEC8F7C5B2}\NV3DVision.nvi,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{F1A55424-D217-43B2-9E6F-93F765181C8D}\DisplayDriver.nvi,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{F1A55424-D217-43B2-9E6F-93F765181C8D}\license.txt,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{F1A55424-D217-43B2-9E6F-93F765181C8D}\logo.png,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{F1A55424-D217-43B2-9E6F-93F765181C8D}\nv-vk32.json,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{F1A55424-D217-43B2-9E6F-93F765181C8D}\nv-vk64.json,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.NView.{9CBEDA7A-3394-422C-8659-DD4B39267A02}\Advanced.tvp,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.NView.{9CBEDA7A-3394-422C-8659-DD4B39267A02}\CAD.tvp,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.NView.{9CBEDA7A-3394-422C-8659-DD4B39267A02}\DCC.tvp,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.NView.{9CBEDA7A-3394-422C-8659-DD4B39267A02}\default.tvp,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.NView.{9CBEDA7A-3394-422C-8659-DD4B39267A02}\Finance.tvp,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.NView.{9CBEDA7A-3394-422C-8659-DD4B39267A02}\generic.tvp,2018-03-27 10:20:50,2017-03-14 10:48:34,2018-03-27 10:20:50,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\HDAudio.Driver.{C9749F82-1DC5-4236-84FD-7A6A01852AFA}\HDAudio.nvi,2018-03-27 10:21:42,2017-03-14 10:48:34,2018-03-27 10:21:42,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\installer.{63A6D2CF-8E60-4FA8-BE55-1FCB0BC98F76}\0000.ui.forms,2018-03-27 10:20:42,2017-03-14 10:48:34,2018-03-27 10:20:42,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\installer.{63A6D2CF-8E60-4FA8-BE55-1FCB0BC98F76}\0000.ui.strings,2018-03-27 10:20:42,2017-03-14 10:48:34,2018-03-27 10:20:42,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\installer.{63A6D2CF-8E60-4FA8-BE55-1FCB0BC98F76}\0401.ui.forms,2018-03-27 10:20:42,2017-03-14 10:48:34,2018-03-27 10:20:42,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\installer.{63A6D2CF-8E60-4FA8-BE55-1FCB0BC98F76}\0401.ui.strings,2018-03-27 10:20:42,2017-03-14 10:48:34,2018-03-27 10:20:42,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\installer.{63A6D2CF-8E60-4FA8-BE55-1FCB0BC98F76}\0404.ui.forms,2018-03-27 10:20:42,2017-03-14 10:48:34,2018-03-27 10:20:42,High
